ID	Long ID	Event Name	Start Time	End Time	Latitude	Longitude	Venue Name	Street	City	Region	Postalcode	Country	Price	rawprice	URL	Type	Trimmed Performer	Allmusic Performer	Moods	Allmusic Genre	Allmusic URL
86550504	86550504-st-vincent	St. Vincent	2009-05-19 19:30:00 +0000		42.3965	-71.1224	Somerville Theatre	55 Davis Square	Somerville	MA	02143	United States	18	 $18	http://www.somervilletheatreonline.com	Music	St. Vincent	St. Vincent	Alternative Singer/ Songwriter|Indie Pop|Warm|Stylish|Tender|Sensual|Romantic|Quirky|Poignant|Elegant|Sophisticated|Sexy|Bittersweet|Lush|Ethereal|Smooth|Sweet|Precious|Passionate|Innocent	Pop/Rock	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:a9fixq9rldje
86962522	86962522-jazz-jam-with-john-funkhauser-piano-and-bass	Jazz Jam with John Funkhauser, piano and bass	2009-05-19 20:00:00 +0000		42.27413	-71.41751	Amazing Things Arts Center	160 Hollis St.	Framingham	MA	01702	United States	6	 $6 (members $5)	http://www.amazingthings.org	Jazz	Jazz Jam 				
86966595	86966595-boston-handbell-festival	Boston Handbell Festival	2009-05-19 20:00:00 +0000	2009-05-19 21:30:00 +0000	42.34986	-71.07823	Old South Church	645 Boylston St.	Boston	MA	02116	United States	0	 Free	http://www.oldsouth.org	Miscellaneous	Boston Handbell Festival				
86735157	86735157-carbon-leaf	Carbon Leaf	2009-05-19 20:00:00 +0000		42.35163	-71.11925	Paradise Rock Club	967 Commonwealth Ave.	Boston	MA	02215	United States	-1		http://www.thedise.com/	Music	Carbon Leaf	Carbon Leaf	Celtic Pop|Folk-Rock|Jam Bands|Adult Alternative Pop/ Rock|Roots Rock|Earnest|Amiable/ Good-Natured|Rowdy|Cheerful|Exuberant|Fun|Freewheeling|Lively|Energetic	Pop/Rock	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:dnfoxqqkld0e
86907734	86907734-boston-pops-salutes-ballets-russes-2009	Boston Pops salutes Ballets Russes 2009	2009-05-19 20:00:00 +0000		42.34266	-71.08473	Boston Symphony Hall	301 Massachusetts Ave.	Boston	MA	02115	United States	20	 $20.00 - $119.00	http://www.bso.org	Ballet	Boston Pops salutes Ballets Russes 2009				
86878024	86878024-ukulele-noir	Ukulele Noir	2009-05-19 20:30:00 +0000		42.39725	-71.12317	Johnny D's Restaurant &amp; Music Club	17 Holland St.	Somerville	MA	02144	United States	-1		http://www.johnnyds.com	Music	Ukulele Noir				
86459386	86459386-momus	Momus	2009-05-19 21:00:00 +0000		42.36393	-71.10122	Middle East Club	472 Massachusetts Ave.	Cambridge	MA	02139	United States	12	 $12.00	http://www.mideastclub.com/	Rock	Momus	Momus	Synth Pop|Chamber Pop|Indie Pop|Shibuya-Kei|Eccentric|Literate|Provocative|Campy|Quirky|Witty|Irreverent|Confident|Cynical/ Sarcastic|Wry|Sophisticated|Stylish|Poignant|Ironic|Cerebral|Sexual|Silly|Sleazy|Acerbic|Rousing|Vocals|Producer|Songwriter	Pop/Rock	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:fifuxqtgldde
86876935	86876935-a-far-cry	A Far Cry	2009-05-20 11:00:00 +0000		42.37847	-71.12362	Pickman Hall	One Follen St.	Cambridge	MA	02138	United States	10	 $10		Music	A Far Cry				
87055088	87055088-drumming-in-the-neighborhood	Drumming in the Neighborhood	2009-05-20 13:30:00 +0000		42.46442	-70.92873	Congregation Ahabat Sholom	151 Ocean St.	Lynn	MA	01902	United States	0	 Free		Music	Drumming in the Neighborhood				
86118094	86118094-free-jazz-concert-malden-public-library-april-hall	Free Jazz Concert Malden Public Library - April Hall	2009-05-20 19:00:00 +0000	2009-05-20 20:00:00 +0000	42.42712	-71.06638	Malden Public Library	36 Salem St.	Malden	MA	02148	United States	0	 Free	http://www.maldenpubliclibrary.org/	Jazz	Free Jazz Concert Malden Public Library - April Hall				
86701923	86701923-the-prodigy-invaders-must-die-tour-with-hearthrob-djs	The Prodigy - Invaders Must Die Tour with Hearthrob DJs	2009-05-20 19:00:00 +0000		42.34739	-71.09572	House Of Blues	15 Lansdowne St.	Boston	MA	02215	United States	29	 $29.50 - $39.50	http://www.hob.com/venues/clubvenues/boston/	Rock	The Prodigy - Invaders Must Die Tour 				
86756073	86756073-dirty-dozen-brass-band	Dirty Dozen Brass Band	2009-05-20 19:30:00 +0000		42.3723	-71.12182	Regattabar at the Charles Hotel	One Bennett St.	Cambridge	MA	02138	United States	22	 $22	http://www.regattabarjazz.com	Music	Dirty Dozen Brass Band	Dirty Dozen Brass Band		Jazz	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:gnfrxzw5ld6e
86814480	86814480-the-shins	The Shins	2009-05-20 19:30:00 +0000		42.35668	-71.06157	Orpheum Theatre	1 Hamilton Pl.	Boston	MA	02108	United States	-1		http://www.livenation.com/venue/getVenue/venueId/832	Music	The Shins	The Shins	Indie Pop|Indie Rock|Lush|Reflective|Autumnal|Soft|Bittersweet|Atmospheric|Delicate|Wistful|Complex|Precious|Organic|Sweet|Innocent|Melancholy|Trippy|Poignant	Pop/Rock	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:wzfyxqekldte
86559365	86559365-pierce-pettis	Pierce Pettis	2009-05-20 20:00:00 +0000		42.37395	-71.11987	Club Passim	47 Palmer St.	Cambridge	MA	02138	United States	18	 $18.00	http://www.clubpassim.org/	Music	Pierce Pettis	Pierce Pettis	Country-Folk|Contemporary Folk|Intimate|Earnest|Reflective|Wistful|Bittersweet|Earthy|Literate|Guitar|Vocals|Songwriter	Folk	http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:hifpxqq5ldhe
86752256	86752256-fingerstyle-guitar-with-brooks-williams	Fingerstyle Guitar With Brooks Williams	2009-05-20 20:00:00 +0000		42.37395	-71.11987	Club Passim	47 Palmer St.	Cambridge	MA	02138	United States	88	 $88.00	http://www.clubpassim.org/	Music	Fingerstyle Guitar 				
86329887	86329887-john-jorgensen-quartet	John Jorgensen Quartet	2009-05-20 20:00:00 +0000		42.36165	-71.11788	Scullers Jazz Club	400 Soldiers Field Rd.	Boston	MA	02134	United States	22	 $22	http://www.scullersjazz.com/	Jazz	John Jorgensen Quartet				
86860338	86860338-fauxharmonic-orchestra-beethoven-digital-symphonies-1	Fauxharmonic Orchestra - Beethoven Digital Symphonies, 1	2009-05-20 20:00:00 +0000	2009-05-20 21:00:00 +0000	42.28824	-71.14665	Holy Name Church	1689 Centre St.	West Roxbury	MA	02132	United States	12	 $12 (suggested)	http://www.holynameparish.com/	Classical	Fauxharmonic Orchestra - Beethoven Digital Symphonies				
